NU_INSCRICAO;TP_COR_RACA;TP_ESCOLA;SG_UF_RESIDENCIA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;Q002;Q006
210058501653;2;1;CE;558.0;395.6;503.9;455.4;760.0;C;C
210061073570;3;1;PA;407.4;418.2;409.4;332.2;500.0;G;B
210061224724;3;1;AL;460.3;398.9;430.4;466.0;680.0;B;B
210058771486;1;1;MG;536.9;587.2;577.4;695.1;800.0;F;F
210059481530;1;1;MT;581.6;582.6;537.3;645.3;600.0;D;B
210061461076;1;3;RS;594.4;618.0;643.1;737.0;920.0;F;Q
210061123390;1;1;MG;573.5;592.0;592.8;642.4;900.0;F;L
210058091862;1;2;SP;414.4;497.0;537.5;413.9;700.0;E;G
210060880781;1;2;AP;469.4;528.3;577.2;604.4;680.0;G;G
210060477990;1;1;RS;540.4;597.2;585.5;535.5;600.0;F;E
210060909981;1;2;PE;473.8;440.6;424.4;446.3;580.0;E;C
210059142492;2;1;CE;406.8;516.8;489.5;358.7;580.0;E;B
210059521801;1;2;RN;527.2;525.9;555.3;641.5;620.0;F;D
210058298725;1;1;CE;711.4;640.5;568.8;725.7;920.0;G;J
210062058029;3;1;BA;501.8;551.2;504.8;409.2;560.0;B;B
210059711522;1;2;ES;449.3;513.2;503.5;409.9;700.0;G;I
210062058806;3;1;MG;566.7;557.9;577.1;625.1;360.0;G;K
210058203134;1;1;RJ;616.3;517.6;513.7;672.9;860.0;G;O
210061533537;3;1;MG;488.2;538.4;498.5;654.1;640.0;E;F
210058991810;1;1;GO;505.4;517.0;470.0;513.0;760.0;E;I
210059833737;1;2;SP;567.5;568.3;605.2;710.3;840.0;E;H
210060869325;1;1;CE;591.0;642.4;643.7;700.0;880.0;F;H
210061291991;1;2;PR;590.6;577.8;582.3;707.8;520.0;F;C
210059616249;3;1;SP;399.2;579.0;557.1;672.2;600.0;G;Q
210061425784;1;3;PE;657.2;631.1;617.6;766.2;960.0;G;J
210060769488;3;1;PB;380.0;544.9;500.3;576.2;540.0;D;B
210061773613;1;1;SP;324.6;365.0;366.3;357.9;520.0;F;G
210061070463;3;1;MG;412.6;408.9;434.2;437.9;640.0;F;B
210059625808;3;1;BA;534.5;539.4;584.6;558.0;520.0;D;B
210061197532;1;2;SP;498.3;603.4;583.1;407.3;440.0;B;C
210058307318;1;1;ES;483.0;0.0;391.2;375.0;460.0;E;C
210059617544;3;1;RN;636.6;605.5;605.9;690.2;900.0;D;B
210058104885;1;2;MG;527.9;536.3;535.8;694.1;480.0;E;D
210059323139;3;3;AM;476.7;479.9;505.2;537.3;480.0;D;G
210060191608;1;2;SP;403.6;408.2;447.2;613.3;480.0;D;B
210061009849;3;2;CE;409.6;429.2;395.2;398.7;440.0;A;A
210061840813;1;2;DF;380.3;429.1;481.8;329.8;580.0;H;C
210060455804;3;2;CE;504.1;416.5;478.6;374.8;260.0;D;B
210060222874;2;1;PB;545.0;460.5;551.8;527.3;720.0;F;E
210060090139;1;1;RN;435.0;534.3;445.8;489.5;460.0;E;B
210059779818;1;1;SP;554.2;571.2;580.0;629.5;620.0;D;G
210058662399;3;1;MG;463.3;502.0;409.9;555.5;380.0;C;A
210058496655;1;2;SP;610.0;582.8;618.6;714.5;700.0;F;D
210060331059;3;1;RN;512.9;619.2;556.4;642.2;820.0;B;B
210060063210;1;3;RJ;665.9;681.7;580.6;688.7;720.0;G;O
210061076071;1;1;SP;379.7;370.0;439.1;347.8;420.0;E;C
210058761326;3;2;PE;526.8;542.3;527.8;479.9;760.0;D;B
210061044813;1;1;SP;693.7;597.8;612.7;671.3;900.0;G;L
210060499792;3;2;BA;447.8;446.6;470.7;501.6;580.0;D;B
210058411676;0;2;AM;480.2;354.2;431.6;378.2;880.0;E;C
210059052033;1;3;PE;557.5;567.4;464.1;774.8;600.0;F;J
210060634745;3;1;PA;518.8;583.6;509.1;378.3;360.0;B;B
210061299184;3;2;CE;403.5;411.0;438.8;420.1;800.0;D;A
210059966994;1;1;RS;518.0;493.1;552.4;550.4;800.0;E;H
210061855233;1;3;PR;545.0;647.8;636.0;638.5;680.0;F;L
210058416668;2;2;RJ;561.2;587.9;588.1;479.3;620.0;E;B
210058222075;1;1;PR;616.5;579.2;598.7;647.6;880.0;G;J
210059039856;1;1;ES;610.4;567.3;575.4;687.7;580.0;E;D
210060460379;0;2;PA;586.4;681.3;598.7;656.0;840.0;F;G
210061437999;3;2;PE;399.4;311.2;387.1;405.9;260.0;D;B
210060137784;0;1;MG;517.6;602.9;547.2;463.9;560.0;B;D
210060509902;1;1;PE;439.7;475.4;451.6;403.5;0.0;E;A
210061555873;3;1;CE;473.5;488.2;473.4;441.6;540.0;E;B
210059324019;1;1;SP;643.7;613.0;540.1;647.0;760.0;F;M
210060979447;3;1;MG;610.6;609.9;550.5;579.3;800.0;E;D
210058202775;3;3;MG;584.2;553.2;549.6;736.8;760.0;F;Q
210061178829;1;1;RS;516.4;555.2;592.3;623.4;480.0;E;G
210060037393;1;1;RS;397.0;541.7;524.5;501.4;480.0;E;E
210059235784;1;1;MG;341.6;326.2;338.4;519.5;0.0;G;H
210060850609;1;1;SP;455.5;451.4;503.0;486.4;620.0;E;C
210060406328;1;2;CE;594.9;658.7;600.1;641.4;700.0;F;B
210060856377;1;1;RS;516.6;679.9;643.8;622.2;680.0;C;E
210061914019;3;1;PI;458.5;488.0;477.8;423.2;720.0;G;H
210059422442;2;2;PR;461.4;413.3;293.0;470.1;400.0;D;D
210058256262;0;1;PA;489.5;431.9;414.1;364.7;540.0;D;A
210058527897;0;2;AM;518.1;472.8;419.8;445.3;440.0;E;B
210061391967;3;1;MA;499.3;341.7;398.9;346.6;0.0;E;B
210059250495;3;3;PA;516.3;547.8;531.9;541.3;820.0;F;K
210061507928;1;3;SP;552.7;583.1;574.1;671.1;840.0;E;G
210059042419;1;3;SC;579.2;575.1;646.3;698.7;660.0;F;G
210058270813;3;2;MG;400.1;359.0;493.6;423.3;760.0;E;B
210059058386;1;1;RJ;562.5;654.2;592.6;655.8;560.0;D;A
210060409463;1;2;CE;427.6;553.4;494.8;395.6;840.0;C;B
210060739851;2;1;SE;403.3;470.3;416.5;341.7;420.0;E;C
210058215094;1;1;SP;441.8;586.9;511.3;522.6;640.0;E;C
210058183661;2;1;SP;429.7;459.8;522.6;575.6;520.0;B;B
210060073360;1;1;RS;559.9;584.6;465.1;485.4;680.0;E;L
210059796095;2;1;MG;369.8;557.6;569.9;614.0;580.0;F;C
210060408000;2;1;RN;452.9;599.6;583.2;662.1;880.0;G;Q
210061836714;3;1;GO;563.8;524.7;568.2;539.5;640.0;F;E
210060151061;3;1;PA;347.7;510.7;435.2;474.6;680.0;B;B
210060021731;1;1;RJ;539.4;595.4;573.7;581.9;540.0;B;D
210058972333;3;1;AL;566.9;536.9;581.6;624.7;600.0;E;B
210061566569;1;3;SP;457.6;402.5;423.0;356.9;240.0;G;J
210059561716;2;1;RJ;555.2;646.0;636.4;726.0;880.0;E;G
210058749691;2;2;PA;436.2;538.6;515.9;526.0;600.0;C;B
210059954164;3;1;PA;464.0;499.3;494.9;427.6;560.0;D;K
210061816958;3;1;MG;519.2;572.7;516.1;532.0;600.0;B;E
210059311825;2;1;PE;338.7;350.1;364.4;367.3;260.0;E;A
210061439289;1;1;PE;589.6;607.3;593.4;576.2;900.0;G;D
210060367472;3;1;MG;436.7;597.1;547.1;534.4;600.0;F;C
210060625524;1;3;RJ;543.0;523.0;560.8;662.4;860.0;E;K
210058709569;2;2;MG;547.0;582.7;515.1;677.0;940.0;D;D
210059573192;3;2;SP;552.2;433.5;567.7;370.9;640.0;D;F
210059167532;3;1;ES;664.2;640.3;626.2;760.6;920.0;E;E
210059553307;1;1;PA;486.0;582.9;545.9;605.6;820.0;E;B
210060538653;2;1;RJ;417.6;485.7;540.2;537.5;520.0;E;C
210058083341;2;1;PR;422.0;392.2;511.7;466.4;900.0;E;E
210059638181;1;1;RO;518.6;491.0;515.9;548.2;620.0;C;C
210061055877;1;1;SP;0.0;522.4;442.0;0.0;560.0;E;B
210060327580;3;1;SP;629.1;587.6;659.1;787.2;700.0;F;F
210059725967;1;1;PB;596.4;596.8;569.3;625.2;520.0;F;A
210060326390;1;3;SP;492.7;550.3;557.4;669.7;800.0;E;J
210059136995;3;1;SP;411.0;379.0;476.5;374.0;0.0;B;B
210061199805;1;1;RS;599.0;656.6;614.7;694.1;500.0;E;H
210060797958;2;2;GO;446.1;523.2;496.6;437.5;560.0;D;C
210061649858;1;1;PR;612.5;625.4;571.5;675.0;780.0;F;G
210061210578;1;1;SC;550.6;462.8;510.4;635.4;560.0;E;J
210058528311;3;2;AM;419.9;399.0;461.7;447.3;380.0;D;B
210058160078;1;3;RJ;494.1;618.4;586.2;567.7;800.0;E;C
210059969470;3;2;GO;487.0;345.8;402.6;395.9;0.0;D;B
210060427090;3;1;PE;385.9;483.4;470.9;574.6;540.0;E;A
210060944320;3;3;GO;556.7;548.1;538.7;644.5;780.0;E;E
210059193518;1;1;DF;432.2;458.1;384.7;386.0;400.0;H;A
210060845935;2;2;RJ;555.8;500.4;528.3;551.6;720.0;H;C
210058136258;1;1;ES;517.9;483.0;553.2;466.6;720.0;C;D
210059120903;3;1;SC;461.8;496.0;466.3;359.4;580.0;C;G
210060195620;1;1;SC;504.9;497.2;527.0;518.4;740.0;G;K
210060271930;1;1;MG;539.1;528.1;535.6;426.8;500.0;E;E
210058536969;3;1;PE;490.2;592.4;525.9;609.9;520.0;E;B
210060139480;3;1;SP;516.3;593.4;576.6;596.7;920.0;E;C
210059083379;2;2;BA;440.6;648.9;609.3;581.8;600.0;D;C
210058186935;2;1;BA;385.6;515.7;535.8;448.0;720.0;E;B
210060803235;3;1;MA;536.8;412.7;487.7;388.9;600.0;E;B
210058594045;1;2;RR;559.0;481.4;552.3;468.3;760.0;E;B
210060727312;3;2;SP;501.3;577.0;521.5;529.8;580.0;E;C
210060183444;1;2;AL;491.6;442.4;458.9;431.4;460.0;C;D
210061499660;1;1;MT;588.0;454.8;492.0;470.4;640.0;E;D
